Food_ID,Food_Name,Packaging_ID,Packaging_Material,Material_Category,Structure_Type,Deterministic_Compatibility_Class,Deterministic_Score,Evidence_Coverage_Ratio,Requirement_Match_Score,Requirement_Dimensions_Scored,Requirement_Candidate_Score,MAP_Request,MAP_Request_Flag,Requirement_Reasons,Eligible,Rank
FRU_002,Banana,PM013,PA6 / Nylon-6,Multilayer laminate/structure,Multilayer,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,5
FRU_002,Banana,PM014,BOPA / Oriented Nylon,Multilayer laminate/structure,Multilayer,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,6
FRU_002,Banana,PM018,PVC plasticized,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,7
FRU_002,Banana,PM019,PS,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,8
FRU_002,Banana,PM020,HIPS,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,9
FRU_002,Banana,PM021,EPS,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,10
FRU_002,Banana,PM022,PLA,Biodegradable polymer,Polymer film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,11
FRU_002,Banana,PM023,PHA,Biodegradable polymer,Polymer film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,12
FRU_002,Banana,PM024,Cellulose film,Paper/cellulosic,Paper/film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,13
FRU_002,Banana,PM025,Coated cellulose film,Paper/cellulosic,Paper/film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,14
FRU_002,Banana,PM026,Kraft paper,Paper/cellulosic,Paper/film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,15
FRU_002,Banana,PM027,Coated paper,Paper/cellulosic,Paper/film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,16
FRU_002,Banana,PM028,Glassine paper,Paper/cellulosic,Paper/film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,17
FRU_002,Banana,PM038,Micro-perforated PE film,Fresh-produce breathable film,Perforated film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,18
FRU_002,Banana,PM039,Micro-perforated PP film,Fresh-produce breathable film,Perforated film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,19
FRU_002,Banana,PM040,Breathable cellulose film,Fresh-produce breathable film,Breathable film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,20
FRU_002,Banana,PM004,HDPE,Polymer film,Single polymer/coating,Low_Compatibility,41.67,0.6666666666666666,,0,51.6709,,,,True,21
FRU_002,Banana,PM031,PET/PE laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,41.67,0.6666666666666666,,0,51.6709,,,,True,22
FRU_002,Banana,PM033,PET/CPP laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,41.67,0.6666666666666666,,0,51.6709,,,,True,23
FRU_002,Banana,PM037,BOPP/CPP laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,41.67,0.6666666666666666,,0,51.6709,,,,True,24
FRU_002,Banana,PM005,PP,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,25
FRU_002,Banana,PM006,CPP,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,26
FRU_002,Banana,PM008,Metallized BOPP,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,27
FRU_002,Banana,PM009,PET,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,28
FRU_002,Banana,PM010,BOPET,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,29
FRU_002,Banana,PM011,Metallized PET,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,30
FRU_002,Banana,PM012,PVdC-coated PET,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,31
FRU_002,Banana,PM016,PVdC,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,32
FRU_002,Banana,PM017,PVC rigid,Polymer film,Single polymer/coating,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,33
FRU_002,Banana,PM029,Aluminum foil,Metal,Rigid/foil metal,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,34
FRU_002,Banana,PM030,Tinplate steel,Metal,Rigid/foil metal,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,35
